"bundle_id","bundle_name","if_used","user_id","creation_date"
"1","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"2","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"3","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"4","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"6","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"7","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"8","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"9","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"12","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"13","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"14","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"15","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"16","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"17","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"18","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"20","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"22","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"23","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"24","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"25","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"26","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"28","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"30","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"31","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"32","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"33","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"34","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"35","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"36","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"38","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"39","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"40","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"41","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"42","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"44","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"45","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"46","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"47","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"49","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"50","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"52","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"53","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"54","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"56","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"57","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"58","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"59","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"60","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"61","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"62","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"63","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"64","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"65","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"66","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"67","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"68","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"69","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"70","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"71","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"72","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"73","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"75","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"78","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"79","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"80","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"81","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"82","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"83","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"84","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"85","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"87","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"88","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"89","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
"90","Newcommers Bundle","0",NULL,"2023-09-25 18:28:32"
